Agents: 50	 Threshold: 0.1	 Different Initial Progress: True	 Initial Cooperation: 1
Time Steps: 1
Time Steps: 2
Agent 1: 14	 Agent 2: 0	 cooperate : False 
Agent 1: 30	 Agent 2: 0	 cooperate : True 
Agent 1: 30	 Agent 2: 0	 defect : False 
Time Steps: 3
Agent 1: 2	 Agent 2: 0	 cooperate : True 
Agent 1: 2	 Agent 2: 0	 defect : False 
Agent 1: 25	 Agent 2: 30	 cooperate : True 
Agent 1: 25	 Agent 2: 30	 defect : False 
Agent 1: 40	 Agent 2: 25	 cooperate : True 
Agent 1: 40	 Agent 2: 25	 defect : False 
Time Steps: 4
Agent 1: 8	 Agent 2: 0	 cooperate : True 
Agent 1: 8	 Agent 2: 0	 defect : False 
Agent 1: 11	 Agent 2: 40	 cooperate : True 
Agent 1: 11	 Agent 2: 40	 defect : False 
Agent 1: 15	 Agent 2: 2	 cooperate : True 
Agent 1: 15	 Agent 2: 2	 defect : False 
Agent 1: 19	 Agent 2: 15	 cooperate : True 
Agent 1: 19	 Agent 2: 15	 defect : False 
Agent 1: 25	 Agent 2: 8	 defect : False 
Agent 1: 29	 Agent 2: 30	 cooperate : True 
Agent 1: 29	 Agent 2: 30	 defect : False 
Agent 1: 30	 Agent 2: 15	 defect : True 
Agent 1: 41	 Agent 2: 29	 cooperate : True 
Agent 1: 41	 Agent 2: 29	 defect : False 
Agent 1: 45	 Agent 2: 41	 cooperate : True 
Agent 1: 45	 Agent 2: 41	 defect : False 
Agent 1: 46	 Agent 2: 41	 cooperate : True 
Agent 1: 46	 Agent 2: 41	 defect : False 
Agent 1: 49	 Agent 2: 25	 cooperate : True 
Agent 1: 49	 Agent 2: 25	 defect : False 
Time Steps: 5
Agent 1: 0	 Agent 2: 46	 defect : True 
Agent 1: 3	 Agent 2: 15	 cooperate : False 
Agent 1: 10	 Agent 2: 11	 cooperate : True 
Agent 1: 10	 Agent 2: 11	 defect : False 
Agent 1: 12	 Agent 2: 29	 cooperate : True 
Agent 1: 12	 Agent 2: 29	 defect : False 
Agent 1: 13	 Agent 2: 15	 cooperate : False 
Agent 1: 19	 Agent 2: 41	 defect : False 
Agent 1: 24	 Agent 2: 15	 cooperate : False 
Agent 1: 25	 Agent 2: 10	 defect : True 
Agent 1: 32	 Agent 2: 10	 cooperate : False 
Agent 1: 37	 Agent 2: 29	 cooperate : True 
Agent 1: 37	 Agent 2: 29	 defect : False 
Agent 1: 41	 Agent 2: 46	 defect : True 
Agent 1: 44	 Agent 2: 45	 cooperate : True 
Agent 1: 44	 Agent 2: 45	 defect : False 
Agent 1: 47	 Agent 2: 12	 cooperate : True 
Agent 1: 47	 Agent 2: 12	 defect : False 
Time Steps: 6
Agent 1: 1	 Agent 2: 37	 cooperate : True 
Agent 1: 1	 Agent 2: 37	 defect : False 
Agent 1: 2	 Agent 2: 47	 defect : False 
Agent 1: 5	 Agent 2: 47	 cooperate : True 
Agent 1: 5	 Agent 2: 47	 defect : False 
Agent 1: 9	 Agent 2: 37	 cooperate : True 
Agent 1: 9	 Agent 2: 37	 defect : False 
Agent 1: 13	 Agent 2: 10	 cooperate : False 
Agent 1: 16	 Agent 2: 5	 cooperate : True 
Agent 1: 16	 Agent 2: 5	 defect : False 
Agent 1: 17	 Agent 2: 11	 cooperate : True 
Agent 1: 17	 Agent 2: 11	 defect : False 
Agent 1: 22	 Agent 2: 15	 cooperate : False 
Agent 1: 26	 Agent 2: 15	 cooperate : False 
Agent 1: 27	 Agent 2: 37	 cooperate : True 
Agent 1: 27	 Agent 2: 37	 defect : False 
Agent 1: 29	 Agent 2: 2	 defect : True 
Agent 1: 31	 Agent 2: 5	 cooperate : True 
Agent 1: 31	 Agent 2: 5	 defect : False 
Agent 1: 34	 Agent 2: 37	 cooperate : True 
Agent 1: 34	 Agent 2: 37	 defect : False 
Agent 1: 38	 Agent 2: 16	 cooperate : True 
