Agents: 50	 Threshold: 0.1	 Different Initial Progress: True	 Initial Cooperation: 10
Spy: 10	 Spied on: 4	 Success False	 Amount: 0 
Spy: 11	 Spied on: 14	 Success True	 Amount: 0.8990268604565811 
Spy: 11	 Spied on: 14	 Success False	 Amount: 0 
Spy: 12	 Spied on: 14	 Success False	 Amount: 0 
Spy: 13	 Spied on: 17	 Success False	 Amount: 0 
Spy: 14	 Spied on: 23	 Success False	 Amount: 0 
Spy: 15	 Spied on: 22	 Success False	 Amount: 0 
Spy: 16	 Spied on: 17	 Success True	 Amount: 0.047325530573883376 
Spy: 16	 Spied on: 17	 Success False	 Amount: 0 
Spy: 17	 Spied on: 4	 Success False	 Amount: 0 
Spy: 18	 Spied on: 10	 Success False	 Amount: 0 
Spy: 19	 Spied on: 15	 Success False	 Amount: 0 
Spy: 20	 Spied on: 24	 Success False	 Amount: 0 
Spy: 21	 Spied on: 44	 Success False	 Amount: 0 
Spy: 22	 Spied on: 43	 Success False	 Amount: 0 
Spy: 23	 Spied on: 49	 Success False	 Amount: 0 
Spy: 24	 Spied on: 2	 Success False	 Amount: 0 
Spy: 25	 Spied on: 17	 Success False	 Amount: 0 
Spy: 26	 Spied on: 36	 Success True	 Amount: 0.9878902375590143 
Spy: 26	 Spied on: 36	 Success False	 Amount: 0 
Spy: 27	 Spied on: 41	 Success False	 Amount: 0 
Spy: 28	 Spied on: 41	 Success False	 Amount: 0 
Spy: 29	 Spied on: 16	 Success False	 Amount: 0 
Spy: 30	 Spied on: 47	 Success False	 Amount: 0 
Spy: 31	 Spied on: 16	 Success True	 Amount: 0.1646055644831175 
Spy: 31	 Spied on: 16	 Success False	 Amount: 0 
Spy: 32	 Spied on: 37	 Success False	 Amount: 0 
Spy: 33	 Spied on: 14	 Success False	 Amount: 0 
Spy: 34	 Spied on: 31	 Success False	 Amount: 0 
Spy: 35	 Spied on: 3	 Success False	 Amount: 0 
Spy: 36	 Spied on: 40	 Success False	 Amount: 0 
Spy: 37	 Spied on: 27	 Success False	 Amount: 0 
Spy: 38	 Spied on: 24	 Success False	 Amount: 0 
Spy: 39	 Spied on: 29	 Success False	 Amount: 0 
Spy: 40	 Spied on: 35	 Success False	 Amount: 0 
Spy: 41	 Spied on: 46	 Success False	 Amount: 0 
Spy: 42	 Spied on: 34	 Success True	 Amount: 0.6998148196248705 
Spy: 42	 Spied on: 34	 Success False	 Amount: 0 
Spy: 43	 Spied on: 41	 Success False	 Amount: 0 
Spy: 44	 Spied on: 18	 Success False	 Amount: 0 
Spy: 45	 Spied on: 29	 Success False	 Amount: 0 
Spy: 47	 Spied on: 16	 Success False	 Amount: 0 
Spy: 48	 Spied on: 11	 Success False	 Amount: 0 
Spy: 49	 Spied on: 40	 Success False	 Amount: 0 
Time Steps: 1
Spy: 11	 Spied on: 19	 Success False	 Amount: 0 
Spy: 12	 Spied on: 15	 Success False	 Amount: 0 
Spy: 14	 Spied on: 46	 Success False	 Amount: 0 
Spy: 19	 Spied on: 8	 Success True	 Amount: 0.9635554499576546 
Spy: 19	 Spied on: 8	 Success False	 Amount: 0 
Spy: 21	 Spied on: 16	 Success False	 Amount: 0 
Spy: 23	 Spied on: 13	 Success False	 Amount: 0 
Spy: 24	 Spied on: 46	 Success True	 Amount: 0.6004624280888846 
Spy: 24	 Spied on: 46	 Success False	 Amount: 0 
Spy: 25	 Spied on: 19	 Success False	 Amount: 0 
Spy: 26	 Spied on: 41	 Success False	 Amount: 0 
Spy: 27	 Spied on: 33	 Success False	 Amount: 0 
Spy: 28	 Spied on: 15	 Success False	 Amount: 0 
Spy: 29	 Spied on: 21	 Success False	 Amount: 0 
Spy: 30	 Spied on: 35	 Success False	 Amount: 0 
