Agents: 82	 Threshold: 0.1	 Different Initial Progress: True	 Initial Cooperation: 50
Agent 1: 0	 Agent 2: 46	 defect : False 
Agent 1: 1	 Agent 2: 47	 defect : False 
Agent: 2	 Type: Imposter	 got caught
Agent 1: 2	 Agent 2: 26	 defect : True 
Agent: 3	 Type: Imposter	 got caught
Agent 1: 3	 Agent 2: 34	 defect : True 
Agent 1: 4	 Agent 2: 9	 defect : False 
Agent 1: 6	 Agent 2: 21	 defect : False 
Agent 1: 8	 Agent 2: 31	 defect : False 
Agent 1: 9	 Agent 2: 20	 defect : False 
Agent 1: 11	 Agent 2: 48	 defect : False 
Agent 1: 12	 Agent 2: 34	 defect : False 
Agent 1: 15	 Agent 2: 28	 defect : False 
Agent 1: 16	 Agent 2: 41	 defect : False 
Agent 1: 17	 Agent 2: 7	 defect : False 
Agent 1: 18	 Agent 2: 29	 defect : False 
Agent 1: 19	 Agent 2: 4	 defect : False 
Agent 1: 20	 Agent 2: 40	 defect : False 
Agent 1: 22	 Agent 2: 34	 defect : False 
Agent 1: 23	 Agent 2: 8	 defect : False 
Agent 1: 24	 Agent 2: 27	 defect : False 
Agent 1: 26	 Agent 2: 40	 defect : False 
Agent 1: 31	 Agent 2: 18	 defect : False 
Agent 1: 32	 Agent 2: 33	 defect : False 
Agent 1: 33	 Agent 2: 17	 defect : False 
Agent 1: 34	 Agent 2: 31	 defect : False 
Agent 1: 37	 Agent 2: 33	 defect : False 
Agent 1: 42	 Agent 2: 46	 defect : False 
Agent 1: 43	 Agent 2: 28	 defect : False 
Agent 1: 44	 Agent 2: 17	 defect : False 
Agent 1: 47	 Agent 2: 11	 defect : False 
Agent 1: 48	 Agent 2: 6	 defect : False 
Agent 1: 49	 Agent 2: 14	 defect : False 
Spy: 50	 Spied on: 19	 Success True	 Amount: 1.8723339997479418 
Spy: 50	 Spied on: 19	 Success False	 Amount: 0 
Agent: 50	 Type: Spy	 got caught
Spy: 51	 Spied on: 54	 Success False	 Amount: 0 
Spy: 52	 Spied on: 49	 Success False	 Amount: 0 
Spy: 53	 Spied on: 59	 Success False	 Amount: 0 
Spy: 54	 Spied on: 70	 Success False	 Amount: 0 
Agent: 54	 Type: Spy	 got caught
Agent 1: 55	 Agent 2: 14	 cooperate : True 
Agent 1: 55	 Agent 2: 14	 defect : False 
Agent 1: 57	 Agent 2: 34	 cooperate : True 
Agent 1: 57	 Agent 2: 34	 defect : False 
Agent 1: 58	 Agent 2: 43	 cooperate : True 
Agent 1: 58	 Agent 2: 43	 defect : False 
Agent 1: 59	 Agent 2: 14	 cooperate : True 
Agent 1: 59	 Agent 2: 14	 defect : False 
Agent 1: 60	 Agent 2: 37	 cooperate : True 
Agent 1: 60	 Agent 2: 37	 defect : False 
Agent 1: 61	 Agent 2: 55	 cooperate : True 
Agent 1: 61	 Agent 2: 55	 defect : False 
Agent 1: 62	 Agent 2: 20	 cooperate : True 
Agent 1: 62	 Agent 2: 20	 defect : False 
Agent 1: 63	 Agent 2: 58	 cooperate : True 
Agent 1: 63	 Agent 2: 58	 defect : False 
Agent 1: 64	 Agent 2: 0	 cooperate : True 
Agent 1: 64	 Agent 2: 0	 defect : False 
Agent 1: 65	 Agent 2: 33	 cooperate : True 
Agent 1: 65	 Agent 2: 33	 defect : False 
Agent 1: 66	 Agent 2: 64	 cooperate : True 
Agent 1: 66	 Agent 2: 64	 defect : False 
Agent 1: 67	 Agent 2: 22	 cooperate : True 
Agent 1: 67	 Agent 2: 22	 defect : False 
Agent 1: 68	 Agent 2: 64	 cooperate : True 
Agent 1: 68	 Agent 2: 64	 defect : False 
Agent 1: 69	 Agent 2: 13	 cooperate : True 
Agent 1: 69	 Agent 2: 13	 defect : False 
Agent 1: 71	 Agent 2: 38	 cooperate : True 
Agent 1: 71	 Agent 2: 38	 defect : False 
Agent 1: 73	 Agent 2: 64	 cooperate : True 
Agent 1: 73	 Agent 2: 64	 defect : False 
Agent 1: 75	 Agent 2: 25	 cooperate : True 
Agent 1: 75	 Agent 2: 25	 defect : False 
Agent 1: 76	 Agent 2: 19	 cooperate : True 
Agent 1: 76	 Agent 2: 19	 defect : False 
Agent 1: 77	 Agent 2: 47	 cooperate : True 
Agent 1: 77	 Agent 2: 47	 defect : False 
Agent 1: 78	 Agent 2: 20	 cooperate : True 
Agent 1: 78	 Agent 2: 20	 defect : False 
Agent 1: 79	 Agent 2: 69	 cooperate : True 
Agent 1: 79	 Agent 2: 69	 defect : False 
Agent 1: 80	 Agent 2: 67	 cooperate : True 
Agent 1: 80	 Agent 2: 67	 defect : False 
Agent 1: 81	 Agent 2: 0	 cooperate : True 
Agent 1: 81	 Agent 2: 0	 defect : False 
Time Steps: 1
Agent 1: 0	 Agent 2: 76	 defect : False 
Agent 1: 1	 Agent 2: 62	 defect : False 
Agent 1: 4	 Agent 2: 39	 defect : False 
Agent 1: 5	 Agent 2: 7	 defect : False 
Agent 1: 6	 Agent 2: 30	 defect : False 
Agent 1: 8	 Agent 2: 10	 defect : False 
Agent 1: 9	 Agent 2: 10	 defect : False 
Agent 1: 10	 Agent 2: 62	 defect : False 
Agent 1: 11	 Agent 2: 8	 defect : False 
Agent 1: 12	 Agent 2: 68	 defect : False 
Agent 1: 13	 Agent 2: 16	 defect : False 
Agent 1: 14	 Agent 2: 16	 defect : False 
Agent 1: 15	 Agent 2: 60	 defect : False 
Agent 1: 17	 Agent 2: 21	 defect : False 
Agent 1: 18	 Agent 2: 33	 defect : False 
Agent 1: 19	 Agent 2: 67	 defect : False 
Agent 1: 20	 Agent 2: 77	 defect : False 
Agent 1: 22	 Agent 2: 27	 defect : False 
Agent 1: 23	 Agent 2: 69	 defect : False 
Agent 1: 24	 Agent 2: 25	 defect : False 
Agent 1: 25	 Agent 2: 39	 defect : False 
Agent 1: 27	 Agent 2: 47	 defect : False 
Agent 1: 29	 Agent 2: 66	 defect : False 
Agent 1: 30	 Agent 2: 57	 defect : False 
Agent 1: 31	 Agent 2: 15	 defect : False 
Agent 1: 32	 Agent 2: 31	 defect : False 
Agent 1: 33	 Agent 2: 28	 defect : False 
Agent 1: 34	 Agent 2: 8	 defect : False 
Agent 1: 35	 Agent 2: 43	 defect : False 
Agent 1: 37	 Agent 2: 75	 defect : False 
Agent 1: 39	 Agent 2: 29	 defect : False 
Agent 1: 40	 Agent 2: 75	 defect : False 
Agent 1: 41	 Agent 2: 28	 defect : False 
Agent 1: 42	 Agent 2: 0	 defect : False 
